Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
961.1/06,الحضارة التونسية من خلال الفسيفساء,"النيفر, المنجى",تونس,الشركة التونسية للتوزيع,N/A,159,تاريخ تونس,18574
297.41/06,أصول الفقه,"النيفر, محمد الطاهر",تونس,دار بوسلامة,1974,166,أصول الفقه,18575
801.5/15,جواهر البلاغة في المعاني والبيان والبديع,"الهاشمي, أحمد",بيروت,دار إحياء التراث العربي,N/A,428,البلاغة العربية,18576
801/10 ج1,خلافات القراء بالمغرب والأندلس . الجزء الأول,"الهاشمي, التهامي الراجي",الرباط,كلية الآداب,N/A,340,فقه اللغة,18577
801/50,توطئة لدراسة علم اللغة : التعاريف,"الهاشمي, التهامي الراجي",الدار البيضاء,دار النشر المغربية,1977,115,فقه اللغة,18578
320/01,حرب الكتب,"الهاشمي, بشير",طرابلس,المنشآة العامة للنشر والتوزيع والإعلان,1984,214,السياسة الثقافية,18579
82-4/07,دراسات في الأدب الحديث,"الهاشمي, بشير",تونس,الدار العربية للكتاب,1979,183,دراسة وأبحاث معاصرة,18580
82-36/03 ج2,التعليقات والنوادر,"الهجري, أبو علي هارون بن زكريا",العراق,دار الرشد للنشر,1981,105,النوادر,18581
301.17/01,القبيلة والسلطة: تطور البنيات الإجتماعية في شمال المغرب,"الهراس, المختار",المغرب,المركز الوطني لتنسيق وتخطيط البحث العلمي والثقني,N/A,288,علم الإجتماع: المجتمع المغربي - القبيلة,18582
331_611/01,تونس...الحركة العمالية في نظام التبعية والحزب الواحد (1956 - 1986),"الهرماسي, محمد صالح",بيروت,دار الفرابي,1986,224,القانون الاجتماعي,18583
22/01,لوحات من نهاية أورشليم,"الهضيبي, سمير",القاهرة,مطابع الزهراء للاعلام العربي,1988,473,الديانة المسيحية,18584
82.091/40,الزهاوي بين الثورة والسكوت,"الهلالي, عبد الرزاق",بيروت,دار الثقافة,N/A,134,دراسة أدبية,18585
82-1_أن/32,ولادة وابن زيدون,"الهلالي, عبد الرزاق",الرباط,N/A,1975,24,الأدب الأندلسي,18586
82-34/01,مقامات بديع الزمان الهمداني,"الهمداني, أبو الفضل بديع الزمان",لبنان,دار المشرق,1972,257,الحكاية,18587
297.2/66,الاعتبار في الناسخ والمنسوخ من الآثار,"الهمداني, أبو بكر محمد بن موسى الحازمي",بيروت,دار إحياء التراث العربي,N/A,202,الحديث,18588
297.632/01,تثبيت دلائل النبوة. الجزء الأول,"الهمداني, عبد الجبار بن أحمد",بيروت,دار العربية,N/A,303,نبوة الرسول محمد,18589
297.632/02,تثبيت دلائل النبوة. الجزء الثاني,"الهمداني, عبد الجبار بن أحمد",بيروت,دار العربية,N/A,718,نبوة الرسول محمد,18590
801.47/01,كتاب الألفاظ الكتابية,"الهمداني, عبد الرحمن بن عيسى",بيروت,دار الكتب العلمية,1980,339,المقاطع اللفظية,18592
930/07,تكملة تاريخ الطبري,"الهمداني, محمد بن عبد الملك",بيروت,المطبعة الكاتوليكية,1961,298,علم التاريخ,18593
801.562/01,تيسير الإنشاء,"الهنداوي, خليل",بيروت,مكتبة دار الشرق,N/A,387,تكوين ونظام الجمل والعبارات,18594
091:1/01,جمل الفلسفة,"الهندي, محمد بن علي بن عبد الله",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1985,483,مخطوطات: الفلسفة,18595
512/06,الجبر التبادلي,"الهوشي, محمد",دمشق,مديرية الكتب والمطبوعات الجامعية,1991,363,الجبر,18596
